,Job Title,Location,Applicant Count,Job Poster,Requirements,Job URL
0,Centralized Start-up Lead,"Sydney, New South Wales, Australia",23,,[],https://www.linkedin.com//jobs/view/3465267345/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=ws%2FjCYKcO5K4Bt44E8R9tw%3D%3D&trk=d_flagship3_search_srp_jobs
1,Post Graduate Program - Data Scientist,,,,,https://www.linkedin.com//jobs/view/3492502441/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=%2BsQiaIEg7Pzt4YUxjcxTtA%3D%3D&trk=flagship3_search_srp_jobs
2,Data Scientist,"Sydney, New South Wales, Australia",103,,"['Rapidly growing fixed income fund manager', 'Research and coding intensive data science role', 'Competitive compensation including performance-based bonus', 'Team player', 'Excellent statistical modelling skills', 'Excellent data munging and analysis skills.', 'Understanding of good engineering practices when contributing to large shared code bases', 'Excellent communication (written/verbal) skills', 'High-intensity work ethic + willingness to work outside normal hours', 'No prerequisite financial markets knowledge/experience required.']",https://www.linkedin.com//jobs/view/3485597829/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=v9%2BJzYTTFstnUzxIZx4xNw%3D%3D&trk=d_flagship3_search_srp_jobs
3,"Senior Associate, Quantitative Analyst – Derivatives Pricing","Sydney, New South Wales, Australia",6,,"['Sydney based role', 'Permanent position', 'Opportunity to join Westpac Institutional Bank’s (WIB) Derivatives Pricing and Risk Analytics team', 'Work with the existing quantitative analysts to help build out the in-house derivatives pricing library to meet the needs of Treasury in addition to the needs of our Financial Markets division', 'Enhance the derivatives pricing library to add new products, enhancing models, improving the internal framework and functional improvements such as improving the overall performance of the library', 'Work directly with the existing team and business units to determine requirements and provide quantitative support', 'Have the opportunity to enhance your understanding of the business, develop your expertise and advance your career', 'Experience using source code management tools, for example Git or SVN', 'As the role is within a small front office team, a delivery-focused approach and the ability to respond quickly to business requests are essential', 'Proactive and engaging attitude towards stakeholders, internal and external', 'Ability to work with different personality types', 'Sound time management skills and the ability to work in a structured environment when it comes to coding and design, but also the need for flexibility when priorities change', 'PhD or Master’s level qualifications in Mathematics, Physics, Engineering, Quantitative Finance, or in a similar field of study']",https://www.linkedin.com//jobs/view/3487838431/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=Q%2FIf2x67P7gF%2FLCa0V130A%3D%3D&trk=d_flagship3_search_srp_jobs
4,"Data Science Intern, 2023/2024 Summer Australia & New Zealand","Sydney, New South Wales, Australia",1,,"['Play with our seriously large volume of data to discover insightful trends, and then collaborate with other Atlassians to turn your insights to actions, drive smarter product decisions and ultimately, delight our customers', 'Measure the impact of our product strategy; design and analyse experiments and product launches', 'Build understanding of the value add of data science within a structured project and share your high-quality insights and recommendations to peers and leadership in order to influence and drive critical business decisions', 'Super-launch your career through our experienced analyst mentors while gaining invaluable exposure to the role of analytics and data science at a fast growing global technology giant', 'Be able to commit to a 12 week full-time (38hrs / week) internship from late November 2023 until late February 2024. We may be able to flex on this slightly if your course timetable does not allow for a 12 week placement during this timeframe.', 'Be currently enrolled in a Bachelors, Masters, or PhD in a quantitative discipline (e.g. statistics, mathematics, physics, econometrics, engineering or computer science) and completing your studies by January 2025.', 'Have experience manipulating data using one of SQL, R, Python (or other languages).', 'Start refining your ability to translate business questions into technical solutions, and communicate analytical results to broad audiences.', 'Show eagerness in collaborating with cross-functional team members, like engineers, product managers, designers and other analysts.']",https://www.linkedin.com//jobs/view/3488174297/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=tFh3z1LTslY9OnOgkVPgAg%3D%3D&trk=d_flagship3_search_srp_jobs
5,Data Scientist,"Hawthorn East, Victoria, Australia",42,,"['Build and maintain predictive models and machine learning algorithms', 'Build deep relationships with stakeholders to understand business priorities and proactively recommend solutions using statistical models and advanced analytics techniques', 'Research new Advanced Analytics opportunities in areas of predictive modelling, regression, machine learning, optimisation, deep learning, reinforcement learning, NLP etc to identify new opportunities for future solutions', 'Deliver a seamless and proactive service to stakeholders articulating customer opportunity, commercial benefit, analytical findings and data recommendations', 'Contribute to the direction and implementation of the data and analytics strategy and roadmap', 'Key analytical techniques, e.g. regression, clustering, optimisation, machine learning, NLP, deep learning, reinforcement learning etc', 'Demonstrated practical experience with programming languages (Strong SQL and either Python or R)', 'Be driven to problem solve and use technology as an enabler', 'A strong team player who enjoys working in a collaborative environment', 'Strong communication skills and the ability to communicate complex ideas in a way that is easy to understand']",https://www.linkedin.com//jobs/view/3492827336/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=tTEAZy%2BgTv8bOQ47%2FCQUWQ%3D%3D&trk=d_flagship3_search_srp_jobs
6,Data Science Training and Internship,Australia,5,Mehzabin Jannat Sanam,[],https://www.linkedin.com//jobs/view/3488126852/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=uWu35Wx2480q7qm1v%2B7X2A%3D%3D&trk=d_flagship3_search_srp_jobs
7,Data Scientist,"Perth, Western Australia, Australia",199,,"['Join us to help solve the biggest challenges facing our integrated Iron Ore value chain and apply your creativity to our huge mine datasets', 'Combine your hands-on coding skills in Python and/or R; develop your technical skills to help us build elegant solutions to business opportunities; and get close to the customers from start to finish.', 'Providing expertise on statistical, mathematical, and Artificial Intelligence concepts (ie. Machine Learning).', 'Conducting research, design, implementation and validation of cutting-edge algorithms and predictive statistical models, including but not limited to time series data analysis, Natural Language Processing, etc., to deliver insights from diverse data sources.', 'The implementation of data science projects and products, including familiarity with machine learning libraries and frameworks (e.g. Scikit Learn, H2O, TensorFlow, PyTorch, tidyverse).', 'Experience in engaging with clients and key stakeholders to build their understanding of advanced data analytics, and support of non-technical functions by advising technical complexity of identified opportunities.', 'Hands-on experience with analytics and cloud technologies within AWS or Microsoft Azure, with experiences in tools such as Sage maker, Azure Machine Learning, ML Ops, Databricks or Synapse.', 'Strong analytical and problem-solving skills to diagnose and logically resolve technical problems.', 'A work environment where safety is always the number one priority;', 'A permanent position working directly for Rio Tinto;', 'A competitive base salary reflective of your skills and experience with annual incentive program;', 'Comprehensive medical benefits including subsidised private health insurance for employees and immediate family;', 'Attractive share ownership plan;', 'Company provided insurance cover;', 'Extensive salary sacrifice & salary packaging options;', 'Career development & education assistance to further your technical or leadership ambitions;', 'Ongoing access to family-friendly health and medical wellbeing support;', 'Leave for all of life’s reasons (vacation/annual, paid parental, sick leave);', 'Exclusive employee discounts (banking, accommodation, cars, retail and more);', 'Possible domestic relocation assistance.']",https://www.linkedin.com//jobs/view/3450561684/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=DuhB3cZ85SiPmqAcQYZE5A%3D%3D&trk=d_flagship3_search_srp_jobs
8,"Expression of Interest - Data Scientist , Data & Analytics","Melbourne, Victoria, Australia",154,,"['As this is an expressions of interest position, please expect a delay in coming back to your application with us* This role is open to applicants across Adelaide, Melbourne, Perth, Brisbane, Canberra and Sydney.', 'Extract and manipulate data from a variety of sources and apply the appropriate pre-processing treatments for analysis.', 'Support the selection and configuration of analytical tools and infrastructure appropriate to our clients’ objectives, current and target state analytic maturity.', 'Design, develop and implement learning and/or optimisation solutions in areas that might include asset and inventory management, communications, channels and networks, risk and portfolio analysis, supply chain management and marketing effectiveness.', 'Design, develop and implement predictive models for areas such as customer segmentation, market basket analysis, offer propensity, demand planning & forecasting, fraud detection, inventory management and risk exposure.', 'Design, develop and implement approaches for productionising model scoring and the closed loop feedback paths required to support back-testing/test-and-learn model validation.', 'Apply visual analysis techniques and toolsets to extract patterns and meaning from data in a visual format.', 'Statistical analysis experience', 'Algorithm design, implementation and operationalisation experience', 'Development of statistical models, such as Bayesian, regression and linear optimisation models (ideally 5+ Years)', 'Development of machine learning models, including deep learning and graph applications (ideally 3+ Years)', 'Fluency in at least one of the following programming languages R, Python, Scala', 'Familiarity with the following data-related technologies Hadoop, Pig, Hive, Impala, SQL, Teradata, Oracle, SAS, MongoDB', 'High-level understanding of architecting cloud-based solutions with the following products AWS Redshift/RDS, S3, EC2, Lambda, EMR, SageMaker, DynamoDB, Cloudformation', 'Explore how a career at EY is yours to build at www.ey.com/au/careerdevelopment', 'Discover how, when and where you can work at www.ey.com/au/flexibility', 'Learn about our commitment to DE&I at www.ey.com/au/diversity-inclusiveness', 'Understand how our benefits can support you at www.ey.com/au/benefits']",https://www.linkedin.com//jobs/view/3407082514/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=fPVJaHepxyAxrFHrRSjzEg%3D%3D&trk=d_flagship3_search_srp_jobs
9,Data Scientist,"Kwinana Beach, Western Australia, Australia",16,,"['Are you passionate about business improvement, data and innovation?', 'WesCEF is seeking a Data Scientist to join our diverse business during an exciting phase of digital transformation!', 'Get the chance to work with emerging technology and interesting projects.', 'Join a highly collaborative and well-respected team.', 'Permanent, Full-time position located at Murdoch with flexibility available.', 'Acquire business insights through analysis of complex data sources.', 'Support the team in advocating data literacy and data informed culture.', 'Provide recommendations on data quality and the adoption of new technologies.', 'Support the adoption and implementation of an increased data culture baseline.', 'Develop analysis to address business questions and problems to support data informed decisions.', 'Work closely with business stakeholders to ensure deliverables are fit for purpose.', 'Develop high quality and scalable solutions.', 'Manage models to ensure they deliver accurate, complete and reliable insights.', 'Regularly present work to business stakeholders and a wider audience when required.', 'Relevant tertiary qualifications in Mathematics, Physical Science, Statistics, Data Science, Engineering or Computer Science.', 'Minimum 3 years + experience as a Data Scientist or in research field that heavily relies on data analysis.', 'Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.', 'Experience with the Cloud such as Azure ecosystem.', 'Have the ability to translate complex technical concepts to non-technical people.', 'Strong understanding of statistical modelling, machine learning, experimental design and analysis.', 'Robust problem solving skills and business acumen.', 'Passion for extracting hidden insights that enhance business outcomes.', 'Hands on experience with maintaining and supporting deployment and management of machine learning and deep learning models.', 'Experience in data visualisation tools such as PowerBI or Tableau.', 'Competitive remuneration with allocation of Wesfarmers shares and participation in our annual incentive plan', 'Employer parental leave payment up to 16 weeks', 'Inclusive work environment that celebrates diversity and uniqueness of individuals', 'Ongoing professional development and career opportunities across our diverse businesses and the Wesfarmers Group', 'Access to a range of health and wellbeing initiatives including private health insurance discounts, our employee assistance program, annual flu vaccinations, support resources and our safety-first culture', 'Salary sacrifice opportunities, including novated lease vehicle packaging', 'Access to employee benefits across Wesfarmers including staff discounts at Bunnings, Kleenheat, Kmart, Target and Officeworks and Wesfarmers Arts sponsored events, free annual membership with OnePass (Catch.com.au) etc.']",https://www.linkedin.com//jobs/view/3493232794/?alternateChannel=search&refId=i2ZmQex1TFRChsQeianC5Q%3D%3D&trackingId=6mnohnnFepPy%2BP%2B2kL%2FIXw%3D%3D&trk=d_flagship3_search_srp_jobs
